Sale_Period,Country,Store_ID,category_name,Sales,% of Store Sales
2020 Q2,Australia,ST-51,Accessories,550116,0.148735153
2020 Q2,Australia,ST-51,Audio,586911,0.158683436
2020 Q2,Australia,ST-51,Desktop,332684,0.089947948
2020 Q2,Australia,ST-51,Laptop,481820,0.130269927
2020 Q2,Australia,ST-51,Smart Speaker,62946,0.017018743
2020 Q2,Australia,ST-51,Smartphone,551256,0.149043375
2020 Q2,Australia,ST-51,Streaming Device,127508,0.034474405
2020 Q2,Australia,ST-51,Subscription Service,220545,0.059628868
2020 Q2,Australia,ST-51,Tablet,476014,0.128700156
2020 Q2,Australia,ST-51,Wearable,308828,0.083497989
2020 Q2,Australia,ST-52,Accessories,652644,0.154302238
2020 Q2,Australia,ST-52,Audio,516070,0.122012546
2020 Q2,Australia,ST-52,Desktop,330443,0.078125432
2020 Q2,Australia,ST-52,Laptop,640673,0.151471979
2020 Q2,Australia,ST-52,Smart Speaker,77982,0.018437
2020 Q2,Australia,ST-52,Smartphone,572448,0.135341791
2020 Q2,Australia,ST-52,Streaming Device,116217,0.027476761
2020 Q2,Australia,ST-52,Subscription Service,261906,0.061921479
2020 Q2,Australia,ST-52,Tablet,618328,0.146189032
2020 Q2,Australia,ST-52,Wearable,442936,0.104721742
2020 Q2,Australia,ST-53,Accessories,610236,0.14626647
2020 Q2,Australia,ST-53,Audio,538714,0.129123479
2020 Q2,Australia,ST-53,Desktop,373130,0.08943492
2020 Q2,Australia,ST-53,Laptop,584838,0.140178865
2020 Q2,Australia,ST-53,Smart Speaker,32828,0.00786849
2020 Q2,Australia,ST-53,Smartphone,605718,0.145183558
2020 Q2,Australia,ST-53,Streaming Device,119040,0.028532503
2020 Q2,Australia,ST-53,Subscription Service,320928,0.076922708
2020 Q2,Australia,ST-53,Tablet,588712,0.141107418
2020 Q2,Australia,ST-53,Wearable,397940,0.095381589
2020 Q2,Australia,ST-54,Accessories,544169,0.137776756
2020 Q2,Australia,ST-54,Audio,596647,0.151063527
2020 Q2,Australia,ST-54,Desktop,336029,0.085078322
2020 Q2,Australia,ST-54,Laptop,454773,0.115142812
2020 Q2,Australia,ST-54,Smart Speaker,79174,0.020045862
2020 Q2,Australia,ST-54,Smartphone,609338,0.154276728
2020 Q2,Australia,ST-54,Streaming Device,126879,0.032124169
2020 Q2,Australia,ST-54,Subscription Service,211284,0.053494455
2020 Q2,Australia,ST-54,Tablet,556449,0.140885898
2020 Q2,Australia,ST-54,Wearable,434901,0.110111471
2020 Q2,Australia,ST-55,Accessories,510096,0.12249191
2020 Q2,Australia,ST-55,Audio,529941,0.127257389
2020 Q2,Australia,ST-55,Desktop,387726,0.093106588
2020 Q2,Australia,ST-55,Laptop,583402,0.140095247
2020 Q2,Australia,ST-55,Smart Speaker,52710,0.012657517
2020 Q2,Australia,ST-55,Smartphone,621033,0.149131768
2020 Q2,Australia,ST-55,Streaming Device,62862,0.015095367
2020 Q2,Australia,ST-55,Subscription Service,232305,0.055784564
2020 Q2,Australia,ST-55,Tablet,736543,0.176869763
2020 Q2,Australia,ST-55,Wearable,447706,0.107509886
2020 Q2,Australia,ST-56,Accessories,508083,0.120428865
2020 Q2,Australia,ST-56,Audio,528841,0.12534905
2020 Q2,Australia,ST-56,Desktop,352458,0.083541699
2020 Q2,Australia,ST-56,Laptop,574709,0.136220958
2020 Q2,Australia,ST-56,Smart Speaker,61616,0.014604592
2020 Q2,Australia,ST-56,Smartphone,659257,0.156261029
2020 Q2,Australia,ST-56,Streaming Device,155074,0.036756565
2020 Q2,Australia,ST-56,Subscription Service,266188,0.063093469
2020 Q2,Australia,ST-56,Tablet,638948,0.151447269
2020 Q2,Australia,ST-56,Wearable,473773,0.112296504
2020 Q2,Australia,ST-67,Accessories,633030,0.160048523
2020 Q2,Australia,ST-67,Audio,553385,0.139911935
2020 Q2,Australia,ST-67,Desktop,349848,0.08845182
2020 Q2,Australia,ST-67,Laptop,496067,0.125420265
2020 Q2,Australia,ST-67,Smart Speaker,54966,0.013897015
2020 Q2,Australia,ST-67,Smartphone,558123,0.14110984
2020 Q2,Australia,ST-67,Streaming Device,148122,0.03744958
2020 Q2,Australia,ST-67,Subscription Service,187403,0.047380967
2020 Q2,Australia,ST-67,Tablet,661490,0.167244044
2020 Q2,Australia,ST-67,Wearable,312804,0.079086012
2020 Q2,Austria,ST-20,Accessories,568728,0.13907843
2020 Q2,Austria,ST-20,Audio,589562,0.144173238
2020 Q2,Austria,ST-20,Desktop,316214,0.077327908
2020 Q2,Austria,ST-20,Laptop,472602,0.115571493
2020 Q2,Austria,ST-20,Smart Speaker,75282,0.018409683
2020 Q2,Austria,ST-20,Smartphone,612042,0.149670564
2020 Q2,Austria,ST-20,Streaming Device,144903,0.035435009
2020 Q2,Austria,ST-20,Subscription Service,189041,0.046228646
2020 Q2,Austria,ST-20,Tablet,610151,0.149208133
2020 Q2,Austria,ST-20,Wearable,510736,0.124896895
2020 Q2,Canada,ST-46,Accessories,672399,0.157947107
2020 Q2,Canada,ST-46,Audio,516972,0.12143717
2020 Q2,Canada,ST-46,Desktop,490694,0.115264446
2020 Q2,Canada,ST-46,Laptop,529860,0.124464573
2020 Q2,Canada,ST-46,Smart Speaker,32138,0.007549244
2020 Q2,Canada,ST-46,Smartphone,665338,0.156288472
2020 Q2,Canada,ST-46,Streaming Device,140965,0.033112801
2020 Q2,Canada,ST-46,Subscription Service,193692,0.045498419
2020 Q2,Canada,ST-46,Tablet,649333,0.152528884
2020 Q2,Canada,ST-46,Wearable,365724,0.085908884
2020 Q2,Canada,ST-47,Accessories,702198,0.175623833
2020 Q2,Canada,ST-47,Audio,430512,0.107673573
2020 Q2,Canada,ST-47,Desktop,238760,0.059715274
2020 Q2,Canada,ST-47,Laptop,606789,0.151761483
2020 Q2,Canada,ST-47,Smart Speaker,77518,0.019387706
2020 Q2,Canada,ST-47,Smartphone,655020,0.163824339
2020 Q2,Canada,ST-47,Streaming Device,89724,0.022440498
2020 Q2,Canada,ST-47,Subscription Service,239047,0.059787055
2020 Q2,Canada,ST-47,Tablet,634587,0.158713926
2020 Q2,Canada,ST-47,Wearable,324152,0.081072314
2020 Q2,Canada,ST-48,Accessories,734880,0.183033077
2020 Q2,Canada,ST-48,Audio,449654,0.11199319
2020 Q2,Canada,ST-48,Desktop,410804,0.102317004
2020 Q2,Canada,ST-48,Laptop,570720,0.142146524
2020 Q2,Canada,ST-48,Smart Speaker,47902,0.011930724
2020 Q2,Canada,ST-48,Smartphone,547509,0.13636547
2020 Q2,Canada,ST-48,Streaming Device,118560,0.029529177
2020 Q2,Canada,ST-48,Subscription Service,272904,0.067970905
2020 Q2,Canada,ST-48,Tablet,530593,0.132152282
2020 Q2,Canada,ST-48,Wearable,331486,0.082561646
2020 Q2,Canada,ST-49,Accessories,650655,0.146448134
2020 Q2,Canada,ST-49,Audio,628871,0.141545035
2020 Q2,Canada,ST-49,Desktop,356847,0.080318413
2020 Q2,Canada,ST-49,Laptop,530228,0.119342664
2020 Q2,Canada,ST-49,Smart Speaker,66494,0.014966337
2020 Q2,Canada,ST-49,Smartphone,590260,0.132854547
2020 Q2,Canada,ST-49,Streaming Device,174791,0.039341611
2020 Q2,Canada,ST-49,Subscription Service,241746,0.054411709
2020 Q2,Canada,ST-49,Tablet,741670,0.166933609
2020 Q2,Canada,ST-49,Wearable,461342,0.10383794
2020 Q2,Canada,ST-50,Accessories,611235,0.143691692
2020 Q2,Canada,ST-50,Audio,474242,0.111486802
2020 Q2,Canada,ST-50,Desktop,401650,0.094421569
2020 Q2,Canada,ST-50,Laptop,517317,0.121613054
2020 Q2,Canada,ST-50,Smart Speaker,54828,0.012889197
2020 Q2,Canada,ST-50,Smartphone,619025,0.145522998
2020 Q2,Canada,ST-50,Streaming Device,126161,0.029658458
2020 Q2,Canada,ST-50,Subscription Service,212255,0.049897797
2020 Q2,Canada,ST-50,Tablet,724464,0.170310041
2020 Q2,Canada,ST-50,Wearable,512618,0.120508393
2020 Q2,China,ST-35,Accessories,662049,0.156376316
2020 Q2,China,ST-35,Audio,457084,0.107963477
2020 Q2,China,ST-35,Desktop,362862,0.085708192
2020 Q2,China,ST-35,Laptop,651462,0.153875661
2020 Q2,China,ST-35,Smart Speaker,59114,0.013962757
2020 Q2,China,ST-35,Smartphone,500846,0.118300084
2020 Q2,China,ST-35,Streaming Device,201577,0.047612591
2020 Q2,China,ST-35,Subscription Service,255908,0.060445602
2020 Q2,China,ST-35,Tablet,542189,0.128065322
2020 Q2,China,ST-35,Wearable,540600,0.127689999
2020 Q2,China,ST-36,Accessories,546319,0.139269532
2020 Q2,China,ST-36,Audio,555011,0.141485327
2020 Q2,China,ST-36,Desktop,417744,0.106492748
2020 Q2,China,ST-36,Laptop,483683,0.123302146
2020 Q2,China,ST-36,Smart Speaker,55902,0.014250732
2020 Q2,China,ST-36,Smartphone,542275,0.138238622
2020 Q2,China,ST-36,Streaming Device,105584,0.026915839
2020 Q2,China,ST-36,Subscription Service,261020,0.066540123
2020 Q2,China,ST-36,Tablet,550164,0.140249713
2020 Q2,China,ST-36,Wearable,405044,0.10325522
2020 Q2,China,ST-37,Accessories,685780,0.176371451
2020 Q2,China,ST-37,Audio,512177,0.131723586
2020 Q2,China,ST-37,Desktop,261938,0.067366189
2020 Q2,China,ST-37,Laptop,428544,0.11021454
2020 Q2,China,ST-37,Smart Speaker,61370,0.015783365
2020 Q2,China,ST-37,Smartphone,579138,0.148944865
2020 Q2,China,ST-37,Streaming Device,124155,0.031930645
2020 Q2,China,ST-37,Subscription Service,184791,0.047525237
2020 Q2,China,ST-37,Tablet,628467,0.161631481
2020 Q2,China,ST-37,Wearable,421911,0.10850864
2020 Q2,China,ST-38,Accessories,597340,0.1497551
2020 Q2,China,ST-38,Audio,561039,0.140654321
2020 Q2,China,ST-38,Desktop,333786,0.083681247
2020 Q2,China,ST-38,Laptop,600658,0.150586934
2020 Q2,China,ST-38,Smart Speaker,39626,0.009934368
2020 Q2,China,ST-38,Smartphone,525651,0.131782433
2020 Q2,China,ST-38,Streaming Device,58712,0.014719291
2020 Q2,China,ST-38,Subscription Service,180298,0.045201301
2020 Q2,China,ST-38,Tablet,594153,0.148956109
2020 Q2,China,ST-38,Wearable,497516,0.124728896
2020 Q2,China,ST-40,Accessories,487697,0.129714791
2020 Q2,China,ST-40,Audio,482701,0.128385984
2020 Q2,China,ST-40,Desktop,328425,0.087352557
2020 Q2,China,ST-40,Laptop,622268,0.165507197
2020 Q2,China,ST-40,Smart Speaker,82316,0.021893927
2020 Q2,China,ST-40,Smartphone,461387,0.122717011
2020 Q2,China,ST-40,Streaming Device,146101,0.038859088
2020 Q2,China,ST-40,Subscription Service,210783,0.056062827
2020 Q2,China,ST-40,Tablet,561514,0.149348204
2020 Q2,China,ST-40,Wearable,376572,0.100158414
2020 Q2,China,ST-43,Accessories,536960,0.126631206
2020 Q2,China,ST-43,Audio,611391,0.144184259
2020 Q2,China,ST-43,Desktop,417158,0.098378316
2020 Q2,China,ST-43,Laptop,467316,0.11020707
2020 Q2,China,ST-43,Smart Speaker,46188,0.01089251
2020 Q2,China,ST-43,Smartphone,464276,0.109490148
2020 Q2,China,ST-43,Streaming Device,175114,0.041297111
2020 Q2,China,ST-43,Subscription Service,272738,0.064319766
2020 Q2,China,ST-43,Tablet,746920,0.176146045
2020 Q2,China,ST-43,Wearable,502284,0.118453569
2020 Q2,China,ST-75,Accessories,782339,0.182722971
2020 Q2,China,ST-75,Audio,683029,0.159528144
2020 Q2,China,ST-75,Desktop,327182,0.076416575
2020 Q2,China,ST-75,Laptop,522885,0.122124937
2020 Q2,China,ST-75,Smart Speaker,76838,0.017946271
2020 Q2,China,ST-75,Smartphone,428882,0.100169611
2020 Q2,China,ST-75,Streaming Device,170861,0.039906268
2020 Q2,China,ST-75,Subscription Service,255953,0.059780342
2020 Q2,China,ST-75,Tablet,568711,0.13282805
2020 Q2,China,ST-75,Wearable,464878,0.108576831
2020 Q2,Colombia,ST-63,Accessories,535464,0.147685077
2020 Q2,Colombia,ST-63,Audio,520189,0.143472115
2020 Q2,Colombia,ST-63,Desktop,325649,0.089816491
2020 Q2,Colombia,ST-63,Laptop,461275,0.127223182
2020 Q2,Colombia,ST-63,Smart Speaker,12926,0.00356509
2020 Q2,Colombia,ST-63,Smartphone,528858,0.145863092
2020 Q2,Colombia,ST-63,Streaming Device,136947,0.037771033
2020 Q2,Colombia,ST-63,Subscription Service,216503,0.059713188
2020 Q2,Colombia,ST-63,Tablet,511287,0.141016875
2020 Q2,Colombia,ST-63,Wearable,376617,0.103873857
2020 Q2,Colombia,ST-64,Accessories,639446,0.161803997
2020 Q2,Colombia,ST-64,Audio,603374,0.152676419
2020 Q2,Colombia,ST-64,Desktop,324377,0.082079637
2020 Q2,Colombia,ST-64,Laptop,561720,0.142136383
2020 Q2,Colombia,ST-64,Smart Speaker,67764,0.017146852
2020 Q2,Colombia,ST-64,Smartphone,609994,0.154351529
2020 Q2,Colombia,ST-64,Streaming Device,110141,0.027869834
2020 Q2,Colombia,ST-64,Subscription Service,192881,0.04880618
2020 Q2,Colombia,ST-64,Tablet,495475,0.125373895
2020 Q2,Colombia,ST-64,Wearable,346807,0.087755274
2020 Q2,France,ST-18,Accessories,692801,0.172505441
2020 Q2,France,ST-18,Audio,559478,0.139308401
2020 Q2,France,ST-18,Desktop,285355,0.071052568
2020 Q2,France,ST-18,Laptop,379608,0.094521292
2020 Q2,France,ST-18,Smart Speaker,85726,0.021345526
2020 Q2,France,ST-18,Smartphone,612046,0.15239768
2020 Q2,France,ST-18,Streaming Device,125988,0.031370647
2020 Q2,France,ST-18,Subscription Service,268990,0.06697773
2020 Q2,France,ST-18,Tablet,549178,0.13674373
2020 Q2,France,ST-18,Wearable,456941,0.113776985
2020 Q2,France,ST-19,Accessories,551171,0.136954622
2020 Q2,France,ST-19,Audio,617896,0.153534408
2020 Q2,France,ST-19,Desktop,417575,0.103758772
2020 Q2,France,ST-19,Laptop,495769,0.123188368
2020 Q2,France,ST-19,Smart Speaker,59656,0.014823285
2020 Q2,France,ST-19,Smartphone,515340,0.128051358
2020 Q2,France,ST-19,Streaming Device,122107,0.03034107
2020 Q2,France,ST-19,Subscription Service,186528,0.04634836
2020 Q2,France,ST-19,Tablet,615090,0.152837175
2020 Q2,France,ST-19,Wearable,443347,0.110162583
2020 Q2,France,ST-29,Accessories,627493,0.149963315
2020 Q2,France,ST-29,Audio,628563,0.150219033
2020 Q2,France,ST-29,Desktop,302033,0.072182271
2020 Q2,France,ST-29,Laptop,480949,0.114941054
2020 Q2,France,ST-29,Smart Speaker,68090,0.016272695
2020 Q2,France,ST-29,Smartphone,446971,0.106820718
2020 Q2,France,ST-29,Streaming Device,121439,0.029022467
2020 Q2,France,ST-29,Subscription Service,266833,0.063769893
2020 Q2,France,ST-29,Tablet,621240,0.148468923
2020 Q2,France,ST-29,Wearable,620699,0.148339631
2020 Q2,France,ST-68,Accessories,510853,0.142006842
2020 Q2,France,ST-68,Audio,379340,0.105448878
2020 Q2,France,ST-68,Desktop,328681,0.091366696
2020 Q2,France,ST-68,Laptop,479338,0.133246307
2020 Q2,France,ST-68,Smart Speaker,81528,0.022663142
